category,return_window,condition
Bottomwear,30 days,Unused and unwashed with original tags
Clothing Accessories,10 days,Unused with original packaging
Winter Wear,30 days,Unused and unwashed with original tags
Topwear,30 days,Unused and unwashed with original tags
Innerwear and Swimwear,No Returns,Non-returnable due to hygiene reasons
Kurtas, Ethnic Sets and Bottoms,30 days,Unused and unwashed with original tags
Tracksuits,30 days,Unused and unwashed with original tags
Fabrics,7 days,Unstitched and unused with original packaging
Men's Footwear,30 days,Unused and in original box
Blazers, Waistcoats and Suits,30 days,Unused and unwashed with original tags
Sleepwear,30 days,Unused and unwashed with original tags